winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,p1 algorithm name,p2 algorithm name,Distance of p1 to the goal,Distance of p2 to the goal
P1,-1,15.6952529,17,10,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,17.33644533,17,10,5,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,10
P1,-1,18.44286537,15,10,7,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P1,-1,15.72495174,21,10,2,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,17.9367137,21,10,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,20.08594489,25,5,5,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,10
P1,-1,43.92778039,41,7,0,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,2
P2,1,39.63018155,30,3,1,minimax-alpha-beta-pruning,monte-carlo-tree-search,6,0
P1,-1,17.85998464,29,10,1,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,10
P1,-1,15.98104668,17,10,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,15.04526114,21,10,3,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,27.70332003,33,6,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,12
P1,-1,26.68043017,29,9,1,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,12
P1,-1,22.98509979,21,8,5,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,13.28698802,13,10,5,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P1,-1,33.82105613,37,8,0,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P2,1,39.5511539,34,10,1,minimax-alpha-beta-pruning,monte-carlo-tree-search,8,0
P1,-1,12.96615338,15,10,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
